Country.of.Origin,Species,Owner,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Cuper.Points
United States (Hawaii),Arabica,eileen koyanagi,Hawaiian Kona,Natural / Dry,7.83,7.58,7.83,7.67,7.92,8.0,9.33,10.0,9.33,7.83,83.33,0.11,0,0,Bluish-Green,1.0,7.83
Costa Rica,Arabica,eric thormaehlen,Catuai,Washed / Wet,7.5,7.67,7.67,7.5,7.83,7.17,10.0,10.0,10.0,8,83.33,0.11,0,0,Green,3.0,8.0
Haiti,Arabica,itiah coffee llc,Typica,Washed / Wet,7.58,7.5,7.67,7.5,7.83,7.42,10.0,10.0,10.0,7.83,83.33,0.11,0,0,Green,4.0,7.83
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.67,7.67,7.5,7.67,7.92,7.42,10.0,10.0,10.0,7.5,83.33,0.11,0,0,Green,1.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.83,7.67,7.17,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.33,0.11,0,0,Green,3.0,7.67
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Natural / Dry,7.92,7.5,7.58,7.83,7.67,7.67,9.33,10.0,10.0,7.83,83.33,0.1,0,0,Bluish-Green,4.0,7.83
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.5,7.67,7.67,7.58,7.67,7.58,10.0,10.0,10.0,7.67,83.33,0.0,0,0,Green,1.0,7.67
Mexico,Arabica,cafe de don balbino s.c. de r.l. de c.v.,Typica,Washed / Wet,7.67,7.83,7.42,7.83,7.33,7.5,10.0,10.0,10.0,7.67,83.25,0.11,0,0,Blue-Green,0.0,7.67
Costa Rica,Arabica,troy quimby,Catuai,Pulped natural / honey,7.5,7.5,7.83,7.5,7.67,7.67,10.0,10.0,10.0,7.58,83.25,0.11,0,0,Green,0.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Pacas,Washed / Wet,7.5,7.58,7.42,7.83,7.67,7.58,10.0,10.0,10.0,7.67,83.25,0.11,0,2,Green,7.0,7.67
Uganda,Arabica,kawacom uganda ltd,SL14,Washed / Wet,7.5,7.67,7.67,7.42,7.67,7.67,10.0,10.0,10.0,7.67,83.25,0.12,0,0,Green,1.0,7.67
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.58,7.67,7.67,7.17,7.75,7.83,10.0,10.0,10.0,7.58,83.25,0.0,0,0,Green,2.0,7.58
Mexico,Arabica,productos y servicios chilindron s.a. de c.v.,Typica,Natural / Dry,7.83,7.75,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.42,83.25,0.12,0,0,Bluish-Green,2.0,7.42
Taiwan,Arabica,"lin, che-hao krude ???",Bourbon,Washed / Wet,7.67,7.5,7.5,7.5,7.67,7.83,10.0,10.0,10.0,7.58,83.25,0.1,0,0,Blue-Green,0.0,7.58
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Washed / Wet,7.92,7.83,7.75,7.58,7.5,7.33,10.0,10.0,10.0,7.33,83.25,0.1,0,0,Green,0.0,7.33
Colombia,Arabica,compa̱ia colombiana agroindustrial s.a,Caturra,Natural / Dry,7.58,7.58,7.5,7.58,7.58,7.75,10.0,10.0,10.0,7.67,83.25,0.0,0,0,Green,0.0,7.67
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.5,7.67,7.58,7.67,7.67,7.5,10.0,10.0,10.0,7.67,83.25,0.1,0,0,Green,1.0,7.67
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.83,7.5,7.67,7.33,7.67,7.67,10.0,10.0,10.0,7.58,83.25,0.11,0,0,Green,1.0,7.58
Mexico,Arabica,calixto guillen vazquez,Bourbon,Washed / Wet,7.58,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.75,83.25,0.12,0,0,Green,6.0,7.75
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Natural / Dry,7.58,7.75,7.83,8.0,8.08,7.67,9.33,10.0,9.33,7.67,83.25,0.11,0,0,Bluish-Green,4.0,7.67
Mexico,Arabica,ernesto rodriguez luna,Mundo Novo,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,7.67,83.25,0.13,0,0,Green,7.0,7.67
Mexico,Arabica,modesto landeros flores,Caturra,Washed / Wet,7.75,7.75,7.42,7.92,7.33,7.5,10.0,10.0,10.0,7.58,83.25,0.12,0,0,Blue-Green,0.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.83,7.58,7.08,7.83,7.42,8.08,10.0,10.0,10.0,7.42,83.25,0.11,0,0,Green,9.0,7.42
Brazil,Arabica,nucoffee,Yellow Bourbon,Semi-washed / Semi-pulped,7.75,7.67,7.5,7.58,7.58,7.58,10.0,10.0,10.0,7.58,83.25,0.11,0,0,Blue-Green,1.0,7.58
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.67,7.58,7.58,7.42,7.83,7.58,10.0,10.0,10.0,7.58,83.25,0.12,0,0,Green,1.0,7.58
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.67,7.5,7.5,7.58,7.67,10.0,10.0,10.0,7.67,83.25,0.11,0,0,Green,0.0,7.67
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.67,7.42,7.5,7.58,7.67,7.58,10.0,10.0,10.0,7.75,83.17,0.11,0,0,Green,4.0,7.75
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.58,7.58,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.67,83.17,0.1,0,0,Green,1.0,7.67
"Tanzania, United Republic Of",Arabica,taylor winch (t) ltd,Bourbon,Washed / Wet,7.67,7.58,7.42,7.67,7.67,7.58,10.0,10.0,10.0,7.58,83.17,0.12,0,0,Green,3.0,7.58
Vietnam,Arabica,"sunvirtue co., ltd.",Catimor,Natural / Dry,7.58,7.42,7.08,7.33,7.58,8.58,10.0,10.0,10.0,7.58,83.17,0.07,0,0,None,0.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.67,7.75,7.42,7.75,7.58,7.5,10.0,10.0,10.0,7.5,83.17,0.11,2,2,Green,3.0,7.5
Honduras,Arabica,cadexsa,Catuai,Washed / Wet,7.67,7.67,7.5,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,0.11,0,1,Blue-Green,1.0,7.5
China,Arabica,yunnan coffee exchange,Catimor,Washed / Wet,7.5,7.67,7.33,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.17,0.11,0,0,Green,0.0,7.67
China,Arabica,yunnan coffee exchange,Catimor,Washed / Wet,7.67,7.67,7.5,7.67,7.42,7.58,10.0,10.0,10.0,7.67,83.17,0.1,0,0,Green,3.0,7.67
El Salvador,Arabica,consejo salvadore̱o del caf̩,Bourbon,Washed / Wet,7.5,7.5,7.33,7.67,8.0,7.67,10.0,10.0,10.0,7.5,83.17,0.0,0,0,Green,0.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.75,7.5,7.83,7.58,7.5,10.0,10.0,10.0,7.5,83.17,0.11,0,0,Green,1.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.92,7.67,7.42,7.75,7.5,7.5,10.0,10.0,10.0,7.42,83.17,0.12,0,0,Green,3.0,7.42
Kenya,Arabica,taylor winch (coffee) ltd.,SL28,Washed / Wet,7.83,7.75,7.67,7.75,7.83,8.5,9.33,9.33,9.33,7.83,83.17,0.1,0,0,Bluish-Green,1.0,7.83
"Tanzania, United Republic Of",Arabica,tutunze kahawa ltd,Other,Washed / Wet,7.58,7.67,7.67,7.58,7.42,7.58,10.0,10.0,10.0,7.67,83.17,0.13,0,0,Bluish-Green,6.0,7.67
Uganda,Arabica,kabum trading company,SL14,Washed / Wet,8.0,7.67,7.5,7.42,7.33,7.58,10.0,10.0,10.0,7.67,83.17,0.1,0,0,Bluish-Green,0.0,7.67
Honduras,Arabica,mayra yessenia torres,Catuai,Natural / Dry,7.5,7.5,7.5,7.67,7.67,7.67,10.0,10.0,10.0,7.67,83.17,0.1,0,0,Green,5.0,7.67
Guatemala,Arabica,juan luis alvarado romero,Catuai,Washed / Wet,7.33,7.83,7.17,8.17,7.33,7.67,10.0,10.0,10.0,7.67,83.17,0.09,0,0,Green,1.0,7.67
United States (Hawaii),Arabica,eileen koyanagi,Hawaiian Kona,Natural / Dry,7.5,7.5,7.58,7.42,7.92,7.67,10.0,10.0,10.0,7.58,83.17,0.11,0,0,Bluish-Green,0.0,7.58
"Tanzania, United Republic Of",Arabica,balam hinyula,Bourbon,Washed / Wet,7.58,7.5,7.58,7.75,7.58,7.58,10.0,10.0,10.0,7.58,83.17,0.12,0,0,Green,1.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,7.83,7.33,7.67,7.5,7.67,10.0,10.0,10.0,7.5,83.17,0.11,0,0,Green,2.0,7.5
Mexico,Arabica,nestor mendez gomez,Typica,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.42,10.0,10.0,10.0,7.75,83.17,0.11,0,0,Green,2.0,7.75
Mexico,Arabica,saul m. hernandez ramirez,Typica,Washed / Wet,7.75,7.67,7.58,7.5,7.42,7.58,10.0,10.0,10.0,7.67,83.17,0.12,3,0,None,8.0,7.67
Mexico,Arabica,saul m. hernandez ramirez,Pacamara,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.58,10.0,10.0,10.0,7.67,83.17,0.14,0,0,None,10.0,7.67
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.5,7.5,7.5,7.58,8.17,10.0,10.0,10.0,7.25,83.17,0.11,1,0,Green,2.0,7.25
Mexico,Arabica,fernando mendoza aparicio,Typica,Washed / Wet,7.75,7.5,7.42,7.75,7.58,7.58,10.0,10.0,10.0,7.58,83.17,0.13,0,0,Green,5.0,7.58
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.5,83.17,0.11,0,0,Blue-Green,0.0,7.5
Brazil,Arabica,nucoffee,Mundo Novo,Natural / Dry,7.75,7.67,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.5,83.17,0.12,0,0,Green,1.0,7.5
Brazil,Arabica,nucoffee,Mundo Novo,Natural / Dry,7.92,7.58,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,83.17,0.11,0,0,Green,4.0,7.67
Guatemala,Arabica,felipe isaza,Bourbon,Washed / Wet,7.75,7.5,7.67,7.5,7.92,8.0,10.0,10.0,9.33,7.5,83.17,0.0,0,0,Green,10.0,7.5
Brazil,Arabica,nucoffee,Mundo Novo,Semi-washed / Semi-pulped,7.75,7.5,7.58,7.5,7.75,7.5,10.0,10.0,10.0,7.58,83.17,0.12,0,0,Blue-Green,3.0,7.58
Colombia,Arabica,carcafe ltda ci,Caturra,Washed / Wet,7.58,7.67,7.33,7.67,7.75,7.58,10.0,10.0,10.0,7.5,83.08,0.0,0,1,Green,4.0,7.5
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.75,7.5,7.5,7.42,8.0,7.75,10.0,10.0,10.0,7.17,83.08,0.0,1,2,Green,5.0,7.17
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Pulped natural / honey,7.58,7.58,7.58,7.5,7.67,7.58,10.0,10.0,10.0,7.58,83.08,0.11,0,2,Bluish-Green,2.0,7.58
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Natural / Dry,7.33,7.67,7.67,7.33,7.75,7.42,10.0,10.0,10.0,7.92,83.08,0.0,0,0,Green,3.0,7.92
Taiwan,Arabica,"lin, che-hao krude ???",Typica,Natural / Dry,7.83,7.92,7.5,7.83,7.67,7.25,9.33,10.0,10.0,7.75,83.08,0.0,0,0,Green,0.0,7.75
Brazil,Arabica,bourbon specialty coffees,Mundo Novo,Natural / Dry,7.42,7.67,7.58,7.5,7.75,7.67,10.0,10.0,10.0,7.5,83.08,0.11,0,0,Green,13.0,7.5
Brazil,Arabica,ipanema coffees,Bourbon,Washed / Wet,7.58,7.83,7.67,7.42,7.42,7.5,10.0,10.0,10.0,7.67,83.08,0.0,0,0,Green,1.0,7.67
Costa Rica,Arabica,eric thormaehlen,Catuai,Washed / Wet,7.83,7.33,7.5,7.67,7.58,7.67,10.0,10.0,10.0,7.5,83.08,0.1,0,0,Green,3.0,7.5
United States (Hawaii),Arabica,eileen koyanagi,Hawaiian Kona,Natural / Dry,7.33,7.75,7.58,7.33,7.83,7.67,10.0,10.0,10.0,7.58,83.08,0.12,0,0,Bluish-Green,8.0,7.58
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Natural / Dry,7.83,7.83,7.33,7.17,7.75,7.67,10.0,10.0,10.0,7.5,83.08,0.1,0,0,Bluish-Green,0.0,7.5
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Washed / Wet,7.33,7.58,7.58,7.92,7.67,7.58,10.0,10.0,10.0,7.42,83.08,0.12,0,0,Green,0.0,7.42
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.58,7.5,7.5,7.75,7.67,7.5,10.0,10.0,10.0,7.5,83.0,0.0,0,0,Green,4.0,7.5
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.5,7.58,7.58,7.67,7.58,7.5,10.0,10.0,10.0,7.58,83.0,0.11,0,3,Green,5.0,7.58
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.5,7.67,7.58,7.67,7.58,7.42,10.0,10.0,10.0,7.58,83.0,0.11,0,2,Bluish-Green,3.0,7.58
Uganda,Arabica,ucfa,Bourbon,Washed / Wet,7.67,7.58,7.42,7.42,7.83,7.5,10.0,10.0,10.0,7.58,83.0,0.12,0,0,Green,6.0,7.58
Uganda,Arabica,ucfa,Bourbon,Natural / Dry,7.67,7.67,7.5,7.58,7.42,7.5,10.0,10.0,10.0,7.67,83.0,0.12,0,5,Green,8.0,7.67
Vietnam,Arabica,"sunvirtue co., ltd.",Caturra,Other,7.75,7.67,7.58,7.58,7.42,7.67,9.33,10.0,10.0,8,83.0,0.0,0,0,Green,0.0,8.0
Guatemala,Arabica,juan luis alvarado romero,Catuai,Washed / Wet,7.67,7.75,7.33,7.92,7.42,7.5,10.0,10.0,10.0,7.42,83.0,0.11,0,0,Green,3.0,7.42
Guatemala,Arabica,juan luis alvarado romero,Catuai,Washed / Wet,7.75,7.67,7.33,7.75,7.5,7.42,10.0,10.0,10.0,7.58,83.0,0.11,0,0,Green,2.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.83,7.67,7.25,7.67,7.75,7.5,10.0,10.0,10.0,7.33,83.0,0.11,0,0,Green,2.0,7.33
Brazil,Arabica,irene alves santos,Catuai,Natural / Dry,7.67,7.67,7.67,7.5,7.42,7.5,10.0,10.0,10.0,7.58,83.0,0.0,0,0,Green,0.0,7.58
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Washed / Wet,7.92,7.92,7.83,7.58,7.33,7.25,10.0,10.0,10.0,7.17,83.0,0.08,0,0,Green,0.0,7.17
Uganda,Arabica,star cafe ltd,SL14,Washed / Wet,7.83,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,7.5,83.0,0.12,0,0,Green,0.0,7.5
United States (Puerto Rico),Arabica,german negron,Other,Washed / Wet,7.67,7.5,7.67,7.83,7.75,7.83,10.0,10.0,9.33,7.42,83.0,0.0,0,0,Bluish-Green,0.0,7.42
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,7.67,7.42,7.83,7.5,7.5,10.0,10.0,10.0,7.42,83.0,0.1,1,0,Green,0.0,7.42
Costa Rica,Arabica,eric thormaehlen,Catuai,Washed / Wet,7.67,7.58,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.67,83.0,0.11,0,0,Green,3.0,7.67
Brazil,Arabica,jacques pereira carneiro,Yellow Bourbon,Semi-washed / Semi-pulped,7.75,7.58,7.42,7.67,7.42,7.67,10.0,10.0,10.0,7.5,83.0,0.12,0,0,Bluish-Green,4.0,7.5
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.75,7.42,7.33,7.5,7.58,7.17,10.0,10.0,10.0,8.25,83.0,0.11,1,0,Green,1.0,8.25
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.83,7.5,7.58,7.33,7.5,7.67,10.0,10.0,10.0,7.58,83.0,0.0,0,0,Green,0.0,7.58
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.33,7.67,7.75,7.42,7.75,7.58,10.0,10.0,10.0,7.5,83.0,0.11,0,0,Green,1.0,7.5
Colombia,Arabica,carcafe ltda ci,Caturra,Natural / Dry,7.58,7.75,7.42,7.67,7.58,7.42,10.0,10.0,10.0,7.58,83.0,0.0,0,0,Green,2.0,7.58
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.5,7.5,7.42,7.58,7.75,7.58,10.0,10.0,10.0,7.67,83.0,0.11,1,0,Green,2.0,7.67
Mexico,Arabica,rosa aurora falcon fernandez,Typica,Washed / Wet,7.67,7.58,7.42,7.5,7.67,7.58,10.0,10.0,10.0,7.58,83.0,0.11,0,0,Green,20.0,7.58
Mexico,Arabica,santiago solis ayerdi,Typica,Semi-washed / Semi-pulped,7.67,7.83,7.5,7.58,7.58,7.67,9.33,10.0,10.0,7.83,83.0,0.11,0,0,Green,7.0,7.83
Mexico,Arabica,alfredo bojalil,Bourbon,Washed / Wet,7.5,7.67,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.67,83.0,0.11,5,0,Green,8.0,7.67
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.75,7.58,7.5,7.67,7.83,7.75,9.33,10.0,10.0,7.58,83.0,0.0,0,0,Green,4.0,7.58
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Washed / Wet,7.67,7.58,7.58,7.58,7.67,7.42,10.0,10.0,10.0,7.5,83.0,0.11,0,0,Green,0.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.67,7.5,7.67,7.5,7.83,10.0,10.0,10.0,7.33,83.0,0.1,0,0,Green,2.0,7.33
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.67,7.67,7.58,7.5,7.67,7.42,10.0,10.0,10.0,7.5,83.0,0.12,0,0,Bluish-Green,0.0,7.5
Brazil,Arabica,ipanema coffees,Bourbon,Natural / Dry,7.67,7.58,7.5,7.58,7.58,7.5,10.0,10.0,10.0,7.5,82.92,0.0,0,0,Green,0.0,7.5
El Salvador,Arabica,consejo salvadore̱o del caf̩,Bourbon,Washed / Wet,7.5,7.5,7.75,7.58,7.92,7.83,10.0,10.0,9.33,7.5,82.92,0.0,0,0,Green,1.0,7.5
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.58,7.67,7.5,7.33,7.67,7.58,10.0,10.0,10.0,7.58,82.92,0.11,0,0,Green,1.0,7.58
Taiwan,Arabica,"lin, che-hao krude ???",Caturra,Natural / Dry,7.17,7.83,7.25,7.67,7.67,7.58,10.0,10.0,10.0,7.75,82.92,0.09,31,0,Green,0.0,7.75
Ethiopia,Arabica,cqi taiwan icp cqi??????,Ethiopian Heirlooms,Washed / Wet,7.58,7.58,7.5,7.5,7.58,7.58,10.0,10.0,10.0,7.58,82.92,0.0,1,0,Bluish-Green,20.0,7.58
Taiwan,Arabica,cqi taiwan icp cqi??????,Typica,Natural / Dry,7.5,7.58,7.67,7.33,7.5,7.75,10.0,10.0,10.0,7.58,82.92,0.0,0,0,Green,9.0,7.58
Philippines,Arabica,renee a. perrine,Other,Washed / Wet,7.58,7.58,7.67,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.92,0.11,0,0,Blue-Green,1.0,7.5
Philippines,Arabica,zarah zamora perez,Other,Washed / Wet,8.08,7.5,7.67,7.42,7.33,7.5,10.0,10.0,10.0,7.42,82.92,0.0,0,0,Bluish-Green,0.0,7.42
Mexico,Arabica,productos y servicios chilindron s.a. de c.v.,Typica,Natural / Dry,7.83,7.67,7.25,7.58,7.5,7.5,10.0,10.0,10.0,7.58,82.92,0.13,0,0,Blue-Green,3.0,7.58
Mexico,Arabica,andrew bowman,Bourbon,Washed / Wet,7.75,7.67,7.42,7.42,7.75,7.5,10.0,10.0,10.0,7.42,82.92,0.12,2,0,Bluish-Green,8.0,7.42
Brazil,Arabica,expocaccer coop dos cafeic do cerrado ltda,Moka Peaberry,Semi-washed / Semi-pulped,7.08,7.5,7.5,7.83,7.75,7.67,10.0,10.0,10.0,7.58,82.92,0.11,0,0,Green,16.0,7.58
Uganda,Arabica,kawacom uganda ltd,SL14,Washed / Wet,8.0,7.5,7.5,7.58,7.33,7.42,10.0,10.0,10.0,7.58,82.92,0.12,0,0,Green,0.0,7.58
Uganda,Arabica,nyapea coffee farmers association,SL14,Washed / Wet,7.75,7.58,7.58,7.5,7.5,7.5,10.0,10.0,10.0,7.5,82.92,0.12,0,0,Green,4.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.75,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,7.5,82.92,0.1,0,0,Green,1.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Caturra,Natural / Dry,7.67,7.83,7.42,7.5,7.33,7.5,10.0,10.0,10.0,7.67,82.92,0.1,0,0,Green,2.0,7.67
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.58,7.5,7.75,7.33,7.58,7.58,10.0,10.0,10.0,7.58,82.92,0.11,0,0,Green,2.0,7.58
Colombia,Arabica,exportadora de cafe condor s.a,Caturra,Natural / Dry,7.75,7.5,7.25,7.5,7.75,7.5,10.0,10.0,10.0,7.67,82.92,0.0,0,0,Bluish-Green,0.0,7.67
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.83,7.75,7.25,7.92,7.5,7.17,10.0,10.0,10.0,7.5,82.92,0.11,0,0,Green,2.0,7.5
Colombia,Arabica,olam agro colombia,Other,Washed / Wet,7.83,7.67,7.42,7.42,7.5,7.58,10.0,10.0,10.0,7.5,82.92,0.11,3,0,Green,5.0,7.5
Mexico,Arabica,maria guadalupe gomez anzo,Typica,Natural / Dry,7.58,7.58,7.33,7.25,7.58,7.75,10.0,10.0,10.0,7.83,82.92,0.1,0,0,Green,4.0,7.83
Vietnam,Arabica,royal base corporation,Other,Natural / Dry,7.67,7.33,7.17,7.58,8.08,7.42,10.0,10.0,10.0,7.67,82.92,0.0,0,0,None,17.0,7.67
Mexico,Arabica,veronica lopez castillejos,Typica,Washed / Wet,8.0,7.92,7.67,7.17,7.67,7.42,9.33,10.0,10.0,7.75,82.92,0.14,1,0,Green,4.0,7.75
United States (Hawaii),Arabica,kona pacific farmers cooperative,Hawaiian Kona,Washed / Wet,7.5,7.5,7.5,7.42,7.67,7.83,10.0,10.0,10.0,7.5,82.92,0.1,0,0,Green,0.0,7.5
Kenya,Arabica,jungle estate,SL28,Washed / Wet,7.75,7.58,7.42,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.83,0.1,0,0,Green,3.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.58,7.33,7.67,7.58,7.58,10.0,10.0,10.0,7.58,82.83,0.11,1,1,Green,2.0,7.58
Brazil,Arabica,ipanema coffees,Yellow Bourbon,Pulped natural / honey,7.67,7.58,7.58,7.5,7.5,7.42,10.0,10.0,10.0,7.58,82.83,0.11,0,2,Bluish-Green,2.0,7.58
El Salvador,Arabica,consejo salvadore̱o del caf̩,Pacas,Washed / Wet,7.33,7.67,7.67,7.83,7.33,7.67,10.0,10.0,10.0,7.33,82.83,0.0,0,0,Green,4.0,7.33
Rwanda,Arabica,samuel muhirwa,Bourbon,Washed / Wet,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,9.33,8,82.83,0.11,0,0,Bluish-Green,0.0,8.0
Vietnam,Arabica,"sunvirtue co., ltd.",Other,Other,7.25,7.58,7.5,7.42,7.75,7.42,10.0,10.0,10.0,7.92,82.83,0.11,11,0,Green,0.0,7.92
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.58,7.58,7.33,7.67,7.67,7.5,10.0,10.0,10.0,7.5,82.83,0.11,0,0,Green,2.0,7.5
Brazil,Arabica,cafebras,Catuai,Natural / Dry,7.58,7.83,7.33,7.67,7.42,7.33,10.0,10.0,10.0,7.67,82.83,0.12,2,0,Green,6.0,7.67
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,7.67,7.75,7.67,7.42,7.17,10.0,10.0,10.0,7.5,82.83,0.1,0,0,Green,4.0,7.5
Colombia,Arabica,"coffeebythebag.com , inc",Typica,Natural / Dry,7.5,7.42,7.58,7.5,7.58,7.58,10.0,10.0,10.0,7.67,82.83,0.0,4,0,Green,4.0,7.67
Colombia,Arabica,racafe & cia s.c.a,Caturra,Washed / Wet,7.83,7.5,7.5,7.42,7.5,7.5,10.0,10.0,10.0,7.58,82.83,0.11,0,0,Green,3.0,7.58
"Tanzania, United Republic Of",Arabica,edwin agasso,Arusha,Washed / Wet,7.67,7.5,7.33,7.25,7.58,7.75,10.0,10.0,10.0,7.75,82.83,0.11,0,0,Green,5.0,7.75
Mexico,Arabica,armando luis pohlenz martinez,Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.5,7.5,10.0,10.0,10.0,7.5,82.83,0.12,2,0,Green,10.0,7.5
Mexico,Arabica,alfredo bojalil,Bourbon,Washed / Wet,7.67,7.58,7.42,7.75,7.42,7.42,10.0,10.0,10.0,7.58,82.83,0.12,0,0,Blue-Green,7.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.67,7.67,7.33,7.5,7.33,7.92,10.0,10.0,10.0,7.42,82.83,0.11,0,0,Green,10.0,7.42
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.5,7.58,7.42,7.67,7.58,7.5,10.0,10.0,10.0,7.5,82.75,0.1,0,1,Green,3.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Caturra,Washed / Wet,7.58,7.67,7.5,7.58,7.5,7.42,10.0,10.0,10.0,7.5,82.75,0.11,0,0,Green,8.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.67,7.17,7.67,7.67,7.58,10.0,10.0,10.0,7.5,82.75,0.11,0,0,Green,4.0,7.5
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.5,7.5,7.42,7.58,7.67,7.5,10.0,10.0,10.0,7.58,82.75,0.1,0,0,Green,1.0,7.58
Guatemala,Arabica,juan luis alvarado romero,Bourbon,Washed / Wet,7.42,7.58,7.42,7.67,7.5,7.5,10.0,10.0,10.0,7.67,82.75,0.1,0,0,Green,1.0,7.67
Indonesia,Arabica,sanjava coffee,Sulawesi,Other,7.5,7.58,7.42,7.58,7.58,7.5,10.0,10.0,10.0,7.58,82.75,0.12,0,0,Blue-Green,15.0,7.58
